Country,Segment,Total Coverage,publication_year,Audit Name,Audit Type,Data Source,Universe,Projection,Frequency (MIDAS),Backdata (MIDAS),Sales Level,Local Currency,Icons not on MIDAS,Segments not covered,"Covered locally, not on MIDAS",Notes,Market Segment,Frequency (Local),Backdata (Local),Corporation,Market Segmentation
China,Retail,0.72,2022,China Retail Rx,Retail Sell-out,~ 6000 retail pharmacies,"~231,699 retail pharmacies","Yes, by store type and reimbursement type in city level & then by city cluster",Monthly,From M01 2016,Public,Chinese Renminbi,DT (Dosage Units) – equivalent to MIDAS SU (Standard Units),"Small hospitals (<100 beds), Community health center, Township health
center and clinics",Reference data changes not applied retroactively in local audit,"Notes

•   Three levels of registration label exist in China:
-   Label 1 = RX-bound
-   Label 2 = OTC
-   Label 3 = Health food
•   The China Retail audit covers Label
1 products only, and is therefore 100% Rx bound, providing a measure of sell- out data, covering cash register receipts
•   Reference data changes are not applied retroactively in local datasets. Therefore product ownership, pack changes, classification changes etc. may differ between local data and MIDAS for historical data periods",0.12,Monthly,60 months,Local,-
China,Hospital,0.72,2022,China Hospital Pharmaceutical Audit (CHPA),Hospital Sell-in,"Total sample of 2,484 hospitals (1,970 General Hospitals, 514 Specialty hospitals)","12,157 hospitals with over 100 beds (10,091 General hospitals, 2,066 specialty hospitals)","Yes, by hospital type, bed size & specialty",Monthly,From M01 2009,Trade,Chinese Renminbi,DT (Dosage Units) – equivalent to MIDAS SU (Standard Units),"Small hospitals (<100 beds), Community health center, Township health center and clinics, Direct to patient sales",-,"Notes

•   CHPA covers hospitals with greater than 100 beds
•   Separate city & region audits are available locally
•   Speciality Hospitals included within CHPA: Gynaecology, Infectious Disease, Oncology, Paediatrics, Psychiatry, Tuberculosis, Ophthalmology and Dermatology
•   Not covered within the CHPA are hospitals <100 beds, community health centres, township health centres, clinics and Direct to patient sales",0.6,Monthly,60 months,Local,-
Chile,Retail,0.71,2022,Pharmaceutical Market Chile (PMC),Retail Sell-in,"4 wholesalers, 4 pharmacy chains","2,991 pharmacies",Not projected,Monthly,144 months,Manufacturer,Chilean Peso,-,Government and private institutions,-,"Notes

•   The PMCH universe corresponds to 100% of census data obtained from pharmacy chains and wholesalers, covering almost 100% of the market
•   Due to the importance of pharmacy chains in Chile, which are covering 88% approximated of the trade market, the price structure is different from those countries where the wholesaler/distributors are acting as intermediaries between manufacturer and pharmacy. Consequently for 88% approximated of the market, the manufacturer selling price is identical to the chain pharmacy purchase price
•   The channel covered by the audit includes Generics and Ethical products, i.e. products carrying a brand name but not publicly advertised. OTC products are covered by the audit if they are sold through pharmacies",0.71,Monthly,60 months,MIDAS,Local
Central America,Retail,0.77,2022,Pharmaceutical Market Central America (PMCA),Retail Sell-in,"202 wholesalers, 250 pharmacies","412 wholesalers, 11,173 pharmacies","6 factors, one for each of the six countries, which change each month according panel collaboration and sample data quality",Monthly,144 months,Trade,US Dollar,DDD,"Government and private hospitals, social security purchases",-,"Notes

•    The PMCA is based on data supplied by a panel of pharmacies located throughout Central America: Guatemala, Honduras, El Salvador, Nicaragua, Costa Rica
and Panama

•    The price structure in Central American countries varies according to whether the laboratory sells CIF or FOB to its distributors. Locally producing laboratories, or laboratories with warehouses in the free zone in Panama, generally sell CIF. The average mark-up from FOB to CIF is around 8%. The distributor mark-up is different in every country. The pharmacy mark-up to the public is 25-35%

•    The report includes Generics and Ethical products, which are products carrying a brand name but not publicly advertised. OTC products are covered by the audit if they are sold through pharmacies. Government purchases (governmental hospitals, Social Security and private hospitals) are
not included",0.77,Monthly,60 months,Local,Local
Canada,Retail and Hospital,1,2022,Canadian Drugstore and Hospital Purchases Audit (CDH),Retail and Hospital Sell-in,"Wholesalers, 3004 drugstores, 738 hospitals","10,783 Drugstores, 937 Hospitals","Yes, for current month plus re-projections for prior 2 months",Monthly,144 months,Trade,Canadian Dollar,"USC, Product Form Classification, Local molecule coding",Cross-border internet pharmacy sales to the US,-,"Notes

•   Dollar values represent the price levels by drug stores and hospitals and therefore may include mark-ups by wholesalers. Cash discounts offered by wholesalers or manufacturers for prompt payment are not reflected in the reported dollar volumes
•   Exclusion of all cross-border internet pharmacy sales [IP-US] estimates to the US have been in place within CDH projections since 2003
•   Molecule coding differs between MIDAS and local offerings
•   The USC therapy classification system is used in local outputs",1,Monthly,60 months,Local,-
Bulgaria,Hospital,0.98,2022,Bulgarian Hospital Index (BGHI),Hospital Sell-in,"20 Wholesalers, 13 DTP/DTH","322 hospitals with 49,028 beds",Not Projected,Monthly,144 months,Manufacturer and Trade,Bulgarian Lev,-,-,Banded pricing levels,"Notes

•   The panel of Wholesalers covers 95% of the total market in value and 93% of the total market in volume
•   The BGHI shows data at all levels, with banded factors being applied to move to ex-MNF and Public level
•   MIDAS input is at Public level, with one set of factors to move to ex-MNF & Trade level (not banded), therefore variances may occur when comparing data at ex-MNF level between MIDAS and local",0.15,Monthly,60 months,Local,-
Bulgaria,Retail,0.98,2022,Bulgarian Pharmaceutical Index (BGPI),Retail Sell-in,"20 Wholesalers, 13 DTP/DTH",3150 Pharmacies,Not Projected,Monthly,144 months,Manufacturer and Public,Bulgarian Lev,-,-,Banded pricing levels,"Notes

•   The panel of Wholesalers covers 95% of the total market in value and 93% of the total market in volume
•   The BGPI shows data at all levels, with banded factors being applied to move to ex-MNF and Public level
•   MIDAS input is at Public level, with one set of factors to move to ex-MNF & Trade level (not banded), therefore variances may occur when comparing data at ex-MNF level between MIDAS and local",0.85,Monthly,60 months,Local,-
Brazil,Non-Retail HPP,0.97,2022,Non Retail Audit (NRA),Non-Retail Sell-in,"Wholesalers, Tenders, Deliveries and Direct Sales from MNF (unprojected)",604 Data Suppliers,Not Projected,Monthly,144 months,Manufacturer,Brazilian Real,DDD,-,-,"Notes

•    The Brazil Non-Retail audit is a non-projected audit designed to provide the sales of the market in channels such as hospitals, tenders and government acquisitions. The audit comprises data provided both by participating companies and wholesalers. Hospitals are only classified as Private, Public and Clinics

•    Audit & MIDAS access is only available to clients participating in the data collection structure

•    Participating manufacturers in the NRA cover 100% of participant sales. Non-participating manufacturers are covered by indirect sales via the wholesaler panel, therefore the market share for non-participating companies & related ATCs may not be fully reflected

•    Brazil Non Retail prices are calculated via average of what was practiced in public tenders

•    Brazil Retail HPP prices are calculated via average of what was practiced in public tenders AND prices that wholesalers used to sell to private hospitals and clinics",0.53,Monthly,60 months,Local,Local
Brazil,Retail PPP,0.97,2022,"Mercado Farmacêutico Brasileiro (PMB), (PPP)",Retail Sell-in,"338 wholesalers (indirect sales), 100 pharmacies (direct sales only)","72,425 pharmacies (61,464 independent pharmacies, 10,961 pharmacy
chains)",Yes,Monthly,144 months,Trade,Brazilian Real,DDD,"Supermarkets, insurers, companies not classified as drug distributors",-,"Notes

•    The Brazilian audit provides data from independent, chain pharmacies and delivery pharmacies

•    The sample is selected randomly out of an address register arranged according to stratification criteria, namely that there are 2 pharmacy types (independent and chain) and 11 regions. Pharmacies are classified in each region according to the number of elementary units (drugs in various preparations and pack sizes) bought from the supplier. Data is projected to national levels using separate factors for each region

•    Two views of the Retail market are available, both locally and on MIDAS,
with the only difference being the currency values

-    Brazil Retail reflects list price

-    Brazil Retail PPP reflects actual
transaction values, including discounts",0.44,Monthly,60 months,Local,Local
Bosnia,Combined,0.95,2022,Bosnia Herzegovina Pharmaceutical Index (BIHMIE),Retail and Hospital Sell-in,"23 Wholesalers, 3 Manufacturers with direct sales","1,339 pharmacies, 52 hospitals",Not projected,Monthly,From M01 2011,Trade,Konvertible Mark,DOT,-,-,"Notes

•   The Bosnia Combined audit is an unprojected measure of the distribution of product volumes via 23 major wholesalers to 52 hospitals and 1,339 pharmacies country wide, which represents 95% of the total volumes distributed within Bosnia",1,Monthly,From M01 2011,MIDAS,MIDAS
Belgium,Hospital,>0.99,2022,Belgium Hospital Audit (BHA),Hospital Consumption,"57,544 beds","70,100 beds (285 hospitals)",Yes,Monthly,144 months,Manufacturer,Euro,-,-,-,"Notes

•   The Belgian hospital audit covers public and private hospitals
•   The sample is used based on stratification sample, comprising:
2 regions (Flanders + Brussels and Walloon + Brussels), and 4 types of hospitals (Acute, Psychiatric, Acute University and University)
•   Data is projected using one factor per stratification criteria
•   The audit has coverage of all acute, psychiatric and academic hospital beds in Belgium",0.29,Monthly,144 months,MIDAS,MIDAS
Belgium,Retail,>0.99,2022,Le Marché Pharmaceutique Belge (LMPB),Retail Sell-in,"Indirect sales: 18 Wholesalers, Direct sales, Parallel imports: Aktuapharma + Goedert (2,600 pharmacies)","18 Wholesalers and 4,814 pharmacies",Yes,Monthly,144 months,Manufacturer,Euro,-,Dispensing Physicians (<1%),-,"Notes

•   Direct sales is the result of a calculation between Sell In and Sell Out + Stock at national level. Direct Sales = Sell Out + Delta Stock – Sell In. The panel figures are projected at national level",0.71,Monthly,144 months,Local,MIDAS
Belarus,Hospital,1,2022,IQVIA Belarus Hospital Audit,Hospital Sell-in,Sample of specialized wholesalers and hospitals (>90% coverage),650 Hospitals,Not projected,Monthly,144 months,Trade,Belarus Ruble,-,-,-,"Notes

•   Belarus Retail was launched on MIDAS in 2017 and measures purchases by hospitals, with backdata available from M01 2007
•   The data is sourced from a sample of specialized wholesalers and hospitals representing over 90% of the hospital channel. This data is not projected",0.25,Monthly,144 months,Local,MIDAS
Belarus,Retail,1,2022,IQVIA Belarus Retail Audit,Retail Sell-in,904 Pharmacies,"3,300 Pharmacies",Yes. Stratification based on region and nano-brick,Monthly,144 months,Trade,Belarus Ruble,-,-,-,"Notes

•   Belarus Retail was relaunched on MIDAS in 2017 and measures purchases by pharmacies and kiosks (retail channel) with backdata available from M01 2007
•   The data (purchase invoices/records) is sourced from a panel of 904 pharmacies and projected to represent the universe of 3,300 pharmacies",0.75,Monthly,144 months,Local,MIDAS
Bangladesh,Retail,0.85,2022,Bangladesh Pharmaceutical Index (BDPI),Retail Sell-in,517 Pharmacies,"81,004 Pharmacies",16 Regional Factors according to the degree of collaboration and sample data quality,Quarterly,48 quarters,Trade,Bangladeshi Taka,-,Non-pharmacy sales,-,"Notes

•   The report is projected to the national level (pharmacy market segment) and covers both ethical and over-the- counter preparations marketed either officially or through illegal and smuggled sources, provided they move through retail pharmacies
•   As a normal practice, most pharmacies include bonus goods as part of their stocks
•   Non-Pharmacy sectors of the market are not covered, and the sales estimates do not include the sales of pharmaceuticals through these other outlets. Companies which primarily sell their products through non- pharmacy outlets will consequently have low sales estimates and ranking",0.85,Quarterly,20 quarters,-,-
Austria,Hospital,1,2022,Der Pharmazeutische Markt Osterreich Klinikbericht (DPMOK),Hospital Consumption,"Consumption data from 112 hospitals (49,540 beds), of which 97 are general hospital & 15 are specialized hospitals",187 Hospitals,Regional projection factors,Monthly,144 months,Manufacturer,Euro,-,-,-,"Notes

•    The Austrian Hospital audit covers hospital consumption of all registered pharmaceutical products in Austria containing data from Acute Hospitals, Long Term Care and Psychiatric Hospitals. The IQVIA sample hospitals are representatively stratified into eight regions. Each region has its own projection factor

•    The Vienna region is covered by means of a data pooling model. The monthly sales of
20 manufacturers to the Vienna hospitals are integrated in the hospital report. The manufacturers who do not participate in the Vienna data pooling are being estimated by a specific model and as such integrated in
the report

•    With the M0713 update, the quarterly audit was converted into a monthly offering by the inclusion of monthly long term and Psychiatric hospitals care data alongside the existing acute hospital data, bringing the monthly data in line with the quarterly data

•    Monthly backdata prior to M0105 and back to M01 2003 reflects quarterly data divided by 3",0.31,Monthly,60 months,MIDAS,MIDAS
Austria,Retail Sellout,1,2022,Der Pharmazeutische Markt Osterreich Sell-Out (DPMOE Sell-Out),Retail Sell-Out,"Primary: 514 Retail Pharmacies for direct sales
Secondary: 100% of total wholesalers for self-dispensing doctor sales","1,379 Public Pharmacies and 814 Dispensing Doctors","Pharmacies and direct sales projected, dispensing doctors unprojected",Monthly,From M01 2016,Manufacturer,Euro,-,-,-,"Notes

•   The Austrian pharmaceutical audit DPMOE Sell-Out covers the sales from pharmacies to patients of the Austrian pharmacy panel. In addition it includes the self-dispensing doctors in Austria. These data are provided by the wholesalers
•   The IQVIA universe consists of 1,379 retail pharmacies and 814 dispensing doctors. The pharmacy sample size is 514 retail pharmacies and 100% of total wholesalers data for self- dispensing doctors
•   Projection factors are applied to data obtained from the retail pharmacies of the pharmacy panel
•   Data from dispensing doctors provides 100% coverage, thus no projection factors are used",0.69,Monthly,From M01 2016,MIDAS,MIDAS
Austria,Retail,1,2022,Der Pharmazeutische Markt Osterreich (DPMO),Retail Sell-in,"Indirect sales: 100% of total wholesalers
Direct sales: 514 Retail Pharmacies for direct sales","1,379 Public Pharmacies and 814 Dispensing Doctors","Pharmacies and direct sales projected, dispensing doctors unprojected",Monthly,144 months,Manufacturer,Euro,-,-,-,"Notes

•    The Austrian pharmaceutical audit covers indirect purchases of pharmaceuticals through wholesalers and direct purchases of panel retail pharmacies of registered OTC drugs from manufacturers. In Austria where pharmaceuticals may be dispensed by retail pharmacies and by dispensing doctors, wholesalers keep separate records of sales to retail pharmacies and dispensing doctors

•    Direct purchases of registered OTC drugs are recorded by the retail pharmacies. The IQVIA universe consists of 1,379 retail pharmacies and 814 dispensing doctors. The pharmacy sample size is 514 retail pharmacies and 100% of total wholesalers data

•    Projection factors are applied to data obtained from wholesalers in the retail pharmacy segment and direct sales of registered OTC drugs reported from the retail pharmacies of the pharmacy panel

•    Data from dispensing doctors provides 100%
coverage, thus no projection factors are used",0.69,Monthly,60 months,MIDAS,MIDAS
Australia,Hospital,0.97,2022,Australian Hospital Index (AHI),Hospital Sell-in,Wholesaler & direct manufacturer data covering 96%,"971 hospitals (674 Public, 297 Private)",Not projected,Monthly,144 months,Trade,Australian Dollars,DDD,-,Other Outlets,"Notes

•   The Australian Hospital Index is a record of purchases made through Hospital Pharmacy Departments, and as such is restricted to ‘pharmaceutical products’ – i.e. purchases made through the
Hospital Supplies Departments are not included
•   The Other Outlets audit captures sales for defined ATCs in prisons, day surgeries, veterinary clinics and suppliers, government, aged and community healthcare, dentists, clinics and medical centers and ambulance",0.15,Monthly,24-60 months,-,Local
Australia,Retail,0.97,2022,Australia Pharmaceutical Index (API),Retail Sell-in,"Wholesaler data covering 96% of wholesalers, plus panel of retail pharmacies","6,182 Pharmacies, buying groups, dispensing doctors",Wholesaler & manufacturer direct sales are not projected Pharmacy panel sales are projected,Monthly,144 months,Trade,Australian Dollars,DDD,-,Other Outlets,"Notes

•   Audited data is obtained from wholesalers and covers approximately 96% of total wholesaler and manufacturer direct sales, supplemented by data from a panel of retail pharmacies. The sample panels vary slightly each month
•   Wholesaler and manufacturer direct sales are unprojected. Pharmacy panel sales are projected. Projection factors are the reciprocal of the sampling fraction of Retail Stores in each state multiplied by a national correction factor. Sampling fraction varies slightly month by month to reflect actual participation
•   The Other Outlets audit captures sales for defined ATCs in prisons, day surgeries, veterinary clinics and suppliers, government, aged and community healthcare, dentists, clinics and medical centers and ambulance",0.82,Monthly,24-60 months,-,Local
Argentina,Retail,0.82,2022,Mercado Farmaceutico Argentina (PMA),Retail Sell-in,"40 Wholesalers, 100 Pharmacies","15,216 Pharmacies, 458 Wholesalers","Yes, using regional factors for pharmacies & wholesalers",Monthly,144 months,Trade,Peso,DDD,"Hospitals, institutions and supermarkets",-,"Notes

•   In Argentina, audited data is obtained from indirect and direct sources:
•   Indirect sales, representing purchases by retail pharmacies from wholesalers, come from a sample of 40 wholesalers
•   Direct sales, representing purchases by retail pharmacies directly from manufacturers, come from a sample of 100 retail pharmacies
•   Pharmacies are classified in each of 8 regions according to the number of elementary units (units of pharmaceutical products) bought from a supplier. The pharmacy sample is selected randomly from each of the 8 regions based on the pharmacy classification
•   Data is projected to a national estimate using regional factors for pharmacies and wholesalers",0.82,Monthly,60 months,Local and MIDAS,Local
Algeria,Retail,0.8,2022,Le Marché National Pharmaceutique Algérien (LMNPA),Retail Sell-in,45 Wholesaler warehouses,"10,000 Pharmacies","51 projection factors (1 per wilaya, 4 for Algiers)",Monthly,144 months,Public,Algerian Dinar,None,"Hospital, military, government channels",-,"Notes

•   The Algerian audit was relaunched in 2005 to become a national audit and measures purchases by street pharmacies
•   Data covering the Algeria National audit was launched on MIDAS during 2005, with backdata available from Q1 2002",0.8,Monthly,60 Months,Local,-
